"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2023","241.00","240.20","244.00","239.81","460.83K","0.33%"
"07/18/2023","240.20","244.10","246.60","238.11","957.48K","-1.60%"
"07/17/2023","244.10","242.30","244.80","240.11","811.67K","0.74%"
"07/16/2023","242.30","250.90","252.00","242.20","443.13K","-3.43%"
"07/15/2023","250.90","248.10","252.50","247.10","393.00K","1.13%"
"07/14/2023","248.10","256.30","261.60","243.51","1.10M","-3.20%"
"07/13/2023","256.30","243.90","257.50","242.80","1.07M","5.09%"
"07/12/2023","243.90","248.69","250.39","242.70","613.17K","-1.93%"
"07/11/2023","248.69","246.10","249.40","244.70","677.47K","1.01%"
"07/10/2023","246.20","234.10","246.30","231.61","1.23M","5.17%"
"07/09/2023","234.10","236.30","237.00","233.20","242.91K","-0.93%"
"07/08/2023","236.30","235.60","237.59","234.30","269.16K","0.30%"
"07/07/2023","235.60","232.29","236.10","231.49","451.07K","1.42%"
"07/06/2023","232.29","238.90","244.29","231.68","702.32K","-2.77%"
"07/05/2023","238.90","242.40","243.89","236.76","541.97K","-1.44%"
"07/04/2023","242.40","246.30","246.89","240.70","510.14K","-1.59%"
"07/03/2023","246.30","246.40","253.67","245.60","893.57K","-0.04%"
"07/02/2023","246.40","247.80","248.40","243.10","615.55K","-0.56%"
"07/01/2023","247.80","240.40","248.80","240.30","743.30K","3.08%"
"06/30/2023","240.40","233.10","241.68","231.82","877.06K","3.13%"
"06/29/2023","233.10","230.60","236.50","230.50","364.98K","1.13%"
"06/28/2023","230.50","237.50","237.50","225.90","668.63K","-2.95%"
"06/27/2023","237.50","236.09","240.79","234.50","374.61K","0.59%"
"06/26/2023","236.09","238.89","241.20","233.79","551.40K","-1.17%"
"06/25/2023","238.89","236.39","241.90","235.30","544.58K","1.01%"
"06/24/2023","236.49","244.20","248.49","231.10","830.76K","-3.16%"
"06/23/2023","244.20","240.80","249.38","239.70","667.76K","1.41%"
"06/22/2023","240.80","248.90","256.79","239.50","1.07M","-3.29%"
"06/21/2023","249.00","247.70","253.91","245.20","1.05M","0.52%"
"06/20/2023","247.70","243.00","247.99","238.70","667.12K","1.94%"
"06/19/2023","243.00","244.10","244.70","238.89","443.84K","-0.45%"
"06/18/2023","244.10","244.60","248.50","242.60","373.87K","-0.20%"
"06/17/2023","244.60","239.38","249.50","237.29","511.26K","2.18%"
"06/16/2023","239.38","236.49","243.17","232.49","596.48K","1.22%"
"06/15/2023","236.49","237.89","240.60","230.70","645.96K","-0.59%"
"06/14/2023","237.89","244.19","252.10","233.73","1.03M","-2.58%"
"06/13/2023","244.19","231.29","246.53","228.90","1.30M","5.58%"
"06/12/2023","231.29","235.39","238.79","221.40","1.66M","-1.74%"
"06/11/2023","235.39","238.70","239.29","233.64","430.82K","-1.39%"
"06/10/2023","238.70","260.51","260.70","230.76","1.68M","-8.37%"
"06/09/2023","260.51","261.91","264.29","255.91","536.35K","-0.54%"
"06/08/2023","261.91","259.21","267.20","257.33","616.61K","1.04%"
"06/07/2023","259.21","281.10","281.60","254.65","1.24M","-7.79%"
"06/06/2023","281.11","277.10","285.60","273.40","742.08K","1.45%"
"06/05/2023","277.10","305.10","305.10","272.41","1.14M","-9.18%"
"06/04/2023","305.10","306.60","307.60","304.81","192.73K","-0.49%"
"06/03/2023","306.60","307.30","308.10","305.30","162.09K","-0.23%"
"06/02/2023","307.30","304.80","308.40","303.50","309.77K","0.82%"
"06/01/2023","304.80","306.70","307.50","303.30","263.13K","-0.62%"
"05/31/2023","306.70","311.40","311.80","305.01","448.98K","-1.51%"
"05/30/2023","311.40","311.60","314.10","310.90","299.81K","-0.07%"
"05/29/2023","311.60","314.10","316.90","310.50","474.21K","-0.80%"
"05/28/2023","314.10","307.40","314.41","306.80","266.78K","2.18%"
"05/27/2023","307.40","306.90","307.70","304.10","150.06K","0.16%"
"05/26/2023","306.90","304.60","308.40","301.71","409.72K","0.75%"
"05/25/2023","304.60","305.90","306.80","302.50","295.39K","-0.42%"
"05/24/2023","305.90","313.50","313.60","303.81","302.10K","-2.42%"
"05/23/2023","313.50","309.10","315.30","309.10","234.96K","1.42%"
"05/22/2023","309.10","306.41","311.10","304.50","231.13K","0.88%"
"05/21/2023","306.41","310.70","311.60","305.83","149.16K","-1.38%"
"05/20/2023","310.70","308.90","311.90","307.80","110.11K","0.58%"
"05/19/2023","308.90","309.40","311.39","307.70","198.26K","-0.16%"
"05/18/2023","309.40","314.29","314.80","306.21","245.41K","-1.56%"
"05/17/2023","314.29","311.30","314.30","307.20","229.04K","0.96%"
"05/16/2023","311.30","313.40","314.00","309.40","190.08K","-0.67%"
"05/15/2023","313.40","312.09","316.20","310.70","208.51K","0.42%"
"05/14/2023","312.09","310.71","314.70","309.50","199.43K","0.45%"
"05/13/2023","310.71","308.60","311.80","307.60","161.15K","0.68%"
"05/12/2023","308.60","307.50","309.00","301.30","339.08K","0.36%"
"05/11/2023","307.50","314.30","314.41","304.50","305.12K","-2.16%"
"05/10/2023","314.30","312.20","316.69","308.63","374.69K","0.67%"
"05/09/2023","312.21","313.79","315.79","311.20","272.70K","-0.50%"
"05/08/2023","313.79","320.90","321.99","311.22","398.34K","-2.22%"
"05/07/2023","320.90","321.90","325.39","320.50","214.88K","-0.31%"
"05/06/2023","321.90","326.50","328.38","319.59","288.80K","-1.41%"
"05/05/2023","326.50","323.80","329.09","323.34","299.47K","0.83%"
"05/04/2023","323.80","325.90","327.40","323.21","205.93K","-0.65%"
"05/03/2023","325.90","321.51","327.50","320.60","631.22K","1.37%"
"05/02/2023","321.51","328.60","328.60","321.51","451.59K","-2.16%"
"05/01/2023","328.60","337.58","339.49","326.21","748.76K","-2.66%"
"04/30/2023","337.58","321.90","338.19","320.41","735.13K","4.87%"
"04/29/2023","321.90","324.00","324.70","321.30","236.60K","-0.68%"
"04/28/2023","324.10","330.70","330.79","319.00","1.02M","-2.00%"
"04/27/2023","330.70","330.50","336.39","328.71","500.35K","0.06%"
"04/26/2023","330.50","338.39","344.90","323.86","700.74K","-2.33%"
"04/25/2023","338.39","331.10","339.80","328.60","452.97K","2.20%"
"04/24/2023","331.10","330.60","333.70","328.09","457.10K","0.12%"
"04/23/2023","330.70","332.08","332.39","327.40","397.91K","-0.42%"
"04/22/2023","332.08","321.30","333.09","319.90","396.60K","3.35%"
"04/21/2023","321.30","318.09","332.57","315.82","948.48K","1.01%"
"04/20/2023","318.09","322.40","326.70","315.50","385.17K","-1.34%"
"04/19/2023","322.40","343.00","343.70","320.39","562.93K","-6.01%"
"04/18/2023","343.00","340.00","346.48","337.20","407.35K","0.88%"
"04/17/2023","340.00","347.70","350.00","337.71","578.69K","-2.21%"
"04/16/2023","347.70","333.00","349.91","330.20","656.26K","4.41%"
"04/15/2023","333.00","328.81","335.90","327.01","433.13K","1.28%"
"04/14/2023","328.80","324.60","335.31","323.41","705.88K","1.29%"
"04/13/2023","324.60","319.90","324.80","317.81","359.08K","1.50%"
"04/12/2023","319.80","322.21","323.21","316.81","368.20K","-0.75%"
"04/11/2023","322.21","318.59","333.00","317.80","686.32K","1.14%"
"04/10/2023","318.59","312.80","318.59","311.70","280.32K","1.85%"
"04/09/2023","312.80","310.50","313.50","309.70","170.37K","0.74%"
"04/08/2023","310.50","310.40","312.69","310.20","173.42K","0.03%"
"04/07/2023","310.40","312.29","312.70","309.80","187.97K","-0.58%"
"04/06/2023","312.19","314.00","314.80","310.70","243.25K","-0.58%"
"04/05/2023","314.00","310.80","316.69","310.30","332.01K","1.03%"
"04/04/2023","310.80","308.60","312.48","308.20","320.39K","0.72%"
"04/03/2023","308.60","313.81","314.10","299.91","474.36K","-1.66%"
"04/02/2023","313.81","314.90","316.11","311.09","157.05K","-0.35%"
"04/01/2023","314.90","317.10","318.60","313.20","192.47K","-0.69%"
"03/31/2023","317.10","316.40","319.70","313.61","278.30K","0.22%"
"03/30/2023","316.40","313.80","318.55","309.38","516.97K","0.83%"
"03/29/2023","313.80","313.30","319.69","312.40","346.41K","0.16%"
"03/28/2023","313.30","310.51","315.59","306.90","346.99K","0.84%"
"03/27/2023","310.70","328.50","329.60","306.10","605.70K","-5.45%"
"03/26/2023","328.60","322.50","329.38","321.70","215.41K","1.89%"
"03/25/2023","322.50","321.99","324.80","319.15","331.44K","0.21%"
"03/24/2023","321.81","329.31","329.99","317.30","328.26K","-2.28%"
"03/23/2023","329.31","321.20","331.80","319.20","402.49K","2.52%"
"03/22/2023","321.20","334.31","339.29","316.51","1.32M","-3.92%"
"03/21/2023","334.31","332.40","339.79","327.31","493.62K","0.57%"
"03/20/2023","332.40","336.57","338.99","331.69","533.29K","-1.24%"
"03/19/2023","336.57","331.01","341.20","330.80","420.67K","1.68%"
"03/18/2023","331.01","338.88","345.99","329.14","688.76K","-2.32%"
"03/17/2023","338.88","329.39","339.89","326.09","755.89K","2.88%"
"03/16/2023","329.39","306.30","332.40","303.01","1.30M","7.54%"
"03/15/2023","306.30","308.59","312.69","300.52","433.50K","-0.74%"
"03/14/2023","308.59","307.89","319.18","302.20","735.13K","0.26%"
"03/13/2023","307.80","287.99","312.59","286.30","1.04M","6.88%"
"03/12/2023","287.99","275.99","288.11","273.41","332.20K","4.38%"
"03/11/2023","275.90","277.48","281.58","270.60","390.55K","-0.57%"
"03/10/2023","277.48","277.02","278.00","265.31","426.68K","0.00%"
"03/09/2023","277.49","286.99","291.29","271.44","339.22K","-3.31%"
"03/08/2023","286.99","289.30","293.89","285.21","273.96K","-0.80%"
